drug_name,mode-of-action,target_proteins,reference
Roscovitine_Seliciclib,CDKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,ATAD5,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND3,CCNE1,CCNE2,CCNH,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,CYP2D6,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HDAC1,HIF1A,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KAT2A,KDR,KIT,LATS1,LATS2,LCK,LMNA,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MATK,MCM4,MET,MNAT1,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NFE2L2,NFKB1,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3CA,PIK3R1,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RB1,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK1,SGK2,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TP53,TSHR,TTK,TYK2,TYRO3,VRK1,WEE1,YES1",CHEMBL
Ruxolitinib,JAKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLG,FLT1,FLT3,FLT4,GSK3B,HDAC1,HDAC2,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NR1H2,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
SCH727965_MK7965_Dinaciclib,CDKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,ATR,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRD4,CAMK2G,CCNA2,CCNB1,CCND1,CCNE1,CCNH,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CHD4,CHEK1,CIT,CLK2,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,MNAT1,NAT10,NEK2,NEK7,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,WEE1,YES1",CHEMBL
SGX523,METi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
SN38,TOP1i,"ABCG2,HDAC1,HDAC2,HDAC7,HDAC8,TOP1",CHEMBL
Sorafenib,VEGFRi,"ABCB11,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,ATAD5,ATR,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CCNA1,CCNA2,CCNC,CCND1,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX6,DLK1,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLG,FLT1,FLT3,FLT4,GNAS,GSK3B,HDAC1,HDAC8,HIPK2,IDH1,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDM4A,KDR,KIT,KMT2A,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MEN1,MET,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NFE2L2,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PAX8,PBK,PDGFRA,PDGFRB,PDPK1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,POLI,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PRKDC,PTK2B,PTK6,PTPN6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK1,SGK2,SGK3,SMAD3,SMC1A,SMC2,SNCA,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TNKS2,TOP2A,TOP2B,TTK,TYK2,TYRO3,USP1,WEE1,YES1",CHEMBL
Sunitinib,RTKi,"ABCB11,ABL1,ABL2,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,APH1A,APH1B,ARAF,ATR,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRD7,BRD9,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DLK1,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLG,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,KMT2A,LATS1,LATS2,LCK,LMNA,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MEN1,MET,MST1,MTOR,MYO3B,MYT1,NAT10,NCSTN,NEK2,NEK4,NEK6,NEK7,NLK,NOS3,NR2C2,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFB,PDGFC,PDGFD,PDGFRA,PDGFRB,PDK1,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,POLK,PRKAA1,PRKAA2,PRKAB1,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PRKDC,PSEN1,PSEN2,PSENEN,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK1,SGK2,SGK3,SIRT1,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TNKS2,TOP2A,TOP2B,TTK,TYK2,TYRO3,USP1,VRK1,WEE1,YES1",CHEMBL
THZ1,CDKi,"CCNH,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,MNAT1",CHEMBL
Temozolomide,Cytostatic_Intercalator,"ABCB1,ABCB11,ABL1,ABL2,KMT2A,MBNL1,MEN1,PABPC1,POLK",CHEMBL
Thiotepa,Cytostatic_Intercalator,"ABCB11,CYP2B6,LMNA,PLK1,POLI,TDP1,VDR",CHEMBL
Topotecan,TOP1i,"ABCB1,ABCG2,ADORA2A,AGTR2,AKT1,BDKRB2,BRCA1,CASP7,CYP2D6,EGFR,ELANE,EPAS1,ERBB2,ESR1,ESR2,FLT1,HIF1A,HMGCR,IDH1,KAT2A,KEAP1,KMT2A,LCK,LMNA,MAPK1,MAPK14,MAPK3,MEN1,NFE2L2,OPRK1,PAX8,PLK1,POLI,PTPRC,RAPGEF3,SMAD3,TDP1,TOP1,TOP2A,TOP2B,USP1",CHEMBL
Ulixertinib,ERKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHB6,ERCC2,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MCM4,MET,NAT10,NEK2,NEK7,NLK,NTRK1,PAK4,PDGFRB,PIM1,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,WEE1,YES1",CHEMBL
VX400_M1774,ATRi,ATR,CHEMBL
VX680_Tozasertib,Aurorai,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CCNA1,CCNA2,CCNB1,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DLK1,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLG,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDM4A,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MST1,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NFE2L2,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDK1,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RAPGEF3,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK1,SGK2,SGK3,SMAD3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SUFU,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
VX803_M4344,ATRi,ATR,CHEMBL
VX970_Berzosertib_M6620,ATRi,"ABL1,ATM,ATR,DYRK2,FLT3,FLT4,GSK3B,JAK2,KIT,MTOR,PIK3CA,PIK3CG,PIK3R1,PRKDC,SYK",CHEMBL
Vatalanib,VEGFRi,"ABCB11,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,MYT1,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK2,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,VRK1,WEE1,YES1",CHEMBL
Vemurafenib,BRAFi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,ATR,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHB6,ERCC2,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK2,KDR,KRAS,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NEK7,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,WEE1,YES1",CHEMBL
Vincristine,Cytostatic_Tubulini,"ABCB1,ABCB11,ADORA2A,AGTR2,ATAD5,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HIF1A,HMGCR,IDH1,KAT2A,LCK,LMNA,MAPK1,MAPK14,MAPK3,NFE2L2,OPRK1,PTPRC,SMAD3,TDP1,TUBA1A,TUBA4A,TUBB4B",CHEMBL
XL184_Cabozantinib,METi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CCDC6,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CLK3,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FLT1,FLT3,FLT4,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK2,KDR,KIF5B,KIT,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NEK7,NLK,NTRK1,NTRK2,PAK4,PDGFRA,PDGFRB,PEBP1,PIM1,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
